"","X","Match","Date_planted","Year_planted","Mother_Canopy_Height_cm","Mother_Width_cm","Mother_Width_2_cm","Mother_Mother_LS","Mother_Length_1_mm","Mother_Length_2_mm","Mother_Length_3_mm","Mother_Stem_Elongation_1_mm","Mother_Stem_Elongation_2_mm","Mother_Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Mother_biovolume","SampleYear","Mother_mean_stem_elong","Mother_mean_leaf_length","Mother_mean_width","SampleID_standard","Site","Species","max_canopy_height_cm","population.x","max_mean_width_cm","population.y","max_biovol","population"
"46",46,"#N/A","2017-08-16",2017,74,148,137,25,43,38,42,34,65,42,37,10.1,1500424,2017,47,41,142.5,"PP17SP14","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"47",47,"#N/A","2017-08-16",2017,47,225,205,23,50,51,50,43,77,80,34.6,11.9,2167875,2017,66.6666666666667,50.3333333333333,215,"PP17SP15","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"48",48,"#N/A","2017-08-16",2017,9.8,102,109,5.8,NA,NA,NA,NA,NA,NA,12.1,7.6,108956.4,2017,NA,NA,105.5,"PC17SA1","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"49",49,"#N/A","2017-08-16",2017,3.5,53,42,5.9,NA,NA,NA,NA,NA,NA,18.1,6.4,7791,2017,NA,NA,47.5,"PC17SA3","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"50",50,"#N/A","2017-08-16",2017,5.5,108,78,8.9,NA,NA,NA,NA,NA,NA,17.1,8.9,46332,2017,NA,NA,93,"PC17SA5","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"51",51,"#N/A","2017-08-16",2017,6.3,106,104,9,NA,NA,NA,NA,NA,NA,29.9,9,69451.2,2017,NA,NA,105,"PC17SA6","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"52",52,"#N/A","2017-08-16",2017,5,46,52,6,NA,NA,NA,NA,NA,NA,18.9,5.6,11960,2017,NA,NA,49,"PC17SA7","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"53",53,"#N/A","2017-08-16",2017,6,34,66,8,NA,NA,NA,NA,NA,NA,17.5,7.1,13464,2017,NA,NA,50,"PC17SA8","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"54",54,"#N/A","2017-08-16",2017,8.6,117,200,14,NA,NA,NA,NA,NA,NA,16.3,10.7,201240,2017,NA,NA,158.5,"PC17SA10","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"55",55,"#N/A","2017-08-19",2017,93,157,83,22.9,56,51,57,62,67,116,30.3,11,1211883,2017,81.6666666666667,54.6666666666667,120,"KP17SR8","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"56",56,"#N/A","2017-08-19",2017,57,52,57,16.1,63,54,65,74,44,49,30.6,8,168948,2017,55.6666666666667,60.6666666666667,54.5,"KP17SR9","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"57",57,"#N/A","2017-08-19",2017,86,200,201,31.3,65,62,70,75,63,71,29.1,15,3457200,2017,69.6666666666667,65.6666666666667,200.5,"KP17SR10","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"58",58,"#N/A","2017-08-19",2017,65,156,133,38,46,47,52,193,97,81,35.5,16,1348620,2017,123.666666666667,48.3333333333333,144.5,"KP17SR11","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"59",59,"#N/A","2017-08-19",2017,64,209,199,37.3,62,64,61,61,84,92,34.6,20,2661824,2017,79,62.3333333333333,204,"KP17SR12","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"60",60,"#N/A","2017-08-19",2017,42,65,32,15.5,55,43,52,36,48,49,24.9,12,87360,2017,44.3333333333333,50,48.5,"KP17SR14","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"61",61,"#N/A","2017-08-19",2017,77,182,155,25.9,67,64,75,73,62,77,42.5,19,2172170,2017,70.6666666666667,68.6666666666667,168.5,"KP17SR15","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"62",62,"#N/A","2017-08-19",2017,36,103,67,18.9,41,43,42,42,18,28,32.6,18,248436,2017,29.3333333333333,42,85,"KP17SP6","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"63",63,"#N/A","2017-08-19",2017,58,47,30,9.3,41,46,50,86,45,35,33,10,81780,2017,55.3333333333333,45.6666666666667,38.5,"KP17SP7","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"64",64,"#N/A","2017-08-19",2017,67,173,134,28.5,45,44,53,55,39,61,28.1,13,1553194,2017,51.6666666666667,47.3333333333333,153.5,"KP17SP8","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"65",65,"#N/A","2017-08-19",2017,25,165,122,8.1,54,52,51,36,38,30,30.7,9,503250,2017,34.6666666666667,52.3333333333333,143.5,"KP17SP10","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"66",66,"#N/A","2017-08-19",2017,65,156,148,26.7,54,59,60,56,41,63,33.2,15,1500720,2017,53.3333333333333,57.6666666666667,152,"KP17SP11","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"67",67,"#N/A","2017-08-19",2017,85,185,151,37.1,59,57,60,138,155,123,33.6,11,2374475,2017,138.666666666667,58.6666666666667,168,"KP17SP12","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"68",68,"#N/A","2017-08-19",2017,74,182,142,29.8,49,48,51,74,50,43,34.8,15,1912456,2017,55.6666666666667,49.3333333333333,162,"KP17SP15","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"69",69,"#N/A","2017-08-20",2017,29.5,152,79,5,46,47,41,31,27,26,23.2,6.1,354236,2017,28,44.6666666666667,115.5,"H17SP1","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"70",70,"#N/A","2017-08-20",2017,26.5,131,164,5,38,44,38,38,19,16,26.7,6.3,569326,2017,24.3333333333333,40,147.5,"H17SP2","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"71",71,"#N/A","2017-08-20",2017,28,213,126,11,43,46,41,49,40,29,25.9,11,751464,2017,39.3333333333333,43.3333333333333,169.5,"H17SP3","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"72",72,"#N/A","2017-08-20",2017,30.4,204,118,9,46,51,52,50,38,35,29.8,10,731788.8,2017,41,49.6666666666667,161,"H17SP4","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"73",73,"#N/A","2017-08-20",2017,26.5,283,112,11,48,42,46,26,26,27,40.7,6.8,839944,2017,26.3333333333333,45.3333333333333,197.5,"H17SP6","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"74",74,"#N/A","2017-08-20",2017,22,164,77,6,35,36,38,23,35,24,28.5,7.4,277816,2017,27.3333333333333,36.3333333333333,120.5,"H17SP7","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"75",75,"#N/A","2017-08-20",2017,36,262,190,12,45,40,36,35,38,29,41.9,11.9,1792080,2017,34,40.3333333333333,226,"H17SP8","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"76",76,"#N/A","2017-08-20",2017,29,184,143,8,51,54,53,57,31,56,28.9,10.8,763048,2017,48,52.6666666666667,163.5,"H17SP9","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"77",77,"#N/A","2017-08-20",2017,29,225,107,10,38,35,33,18,30,30,27,9.4,698175,2017,26,35.3333333333333,166,"H17SP10","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"78",78,"#N/A","2017-08-20",2017,24,197,144,8,44,45,38,26,19,33,36.8,12.2,680832,2017,26,42.3333333333333,170.5,"H17SP11","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"79",79,"#N/A","2017-08-20",2017,26.5,118,68,11,38,26,27,17,17,18,29.8,6.7,212636,2017,17.3333333333333,30.3333333333333,93,"H17SP12","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"80",80,"#N/A","2017-08-20",2017,25,138,108,8,29,32,27,30,21,19,37.2,8.3,372600,2017,23.3333333333333,29.3333333333333,123,"H17SP13","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"81",81,"#N/A","2017-08-20",2017,30,289,185,9,35,39,34,27,27,25,33.3,8.1,1603950,2017,26.3333333333333,36,237,"H17SP14","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"82",82,"#N/A","2017-08-20",2017,29,175,175,7,42,36,40,25,33,36,26.8,8,888125,2017,31.3333333333333,39.3333333333333,175,"H17SP15","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"83",83,"#N/A","2017-08-20",2017,28,52,93,8,37,37,33,40,22,37,35.9,9,135408,2017,33,35.6666666666667,72.5,"H17SP16","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"84",84,"#N/A","2017-08-20",2017,28,112,88,8,37,38,41,53,64,63,40.2,9.6,275968,2017,60,38.6666666666667,100,"H17SP17","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"85",85,"#N/A","2017-08-20",2017,23,162,128,6,38,36,34,109,53,32,28.5,7.6,476928,2017,64.6666666666667,36,145,"H17SP18","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"86",86,"#N/A","2017-08-20",2017,18,215,143,8,58,47,44,32,41,33,46.5,8.8,553410,2017,35.3333333333333,49.6666666666667,179,"H17SP19","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"87",87,"#N/A","2017-08-20",2017,29,195,122,12,37,29,38,22,17,20,30,9,689910,2017,19.6666666666667,34.6666666666667,158.5,"H17SP20","Qikiqtaruk","Salix pulchra",NA,NA,NA,NA,NA,NA
"88",88,"#N/A","2017-08-20",2017,38,245,169,18,41,44,36,24,30,23,35.5,11.5,1573390,2017,25.6666666666667,40.3333333333333,207,"H17SR1","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"89",89,"#N/A","2017-08-20",2017,23,204,165,14,40,40,37,26,15,23,31.2,9.5,774180,2017,21.3333333333333,39,184.5,"H17SR2","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"90",90,"#N/A","2017-08-20",2017,27,152,132,9,40,42,42,38,32,15,32.7,10.7,541728,2017,28.3333333333333,41.3333333333333,142,"H17SR3","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"91",91,"#N/A","2017-08-20",2017,49,NA,NA,39,44,40,41,33,29,32,39,15.8,NA,2017,31.3333333333333,41.6666666666667,NA,"H17SR4","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"92",92,"#N/A","2017-08-20",2017,27,500,425,15,49,46,41,24,17,21,35.2,10.5,5737500,2017,20.6666666666667,45.3333333333333,462.5,"H17SR5","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"93",93,"#N/A","2017-08-20",2017,23,192,167,14,47,45,47,21,22,31,30.5,15,737472,2017,24.6666666666667,46.3333333333333,179.5,"H17SR6","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"94",94,"#N/A","2017-08-20",2017,34,184,132,9,44,40,45,24,26,25,30.5,12,825792,2017,25,43,158,"H17SR7","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"95",95,"#N/A","2017-08-20",2017,32,305,195,13,44,39,37,27,21,25,31.9,11.4,1903200,2017,24.3333333333333,40,250,"H17SR8","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"96",96,"#N/A","2017-08-20",2017,56,NA,NA,32,44,44,47,34,41,30,37.7,12.1,NA,2017,35,45,NA,"H17SR9","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"97",97,"#N/A","2017-08-20",2017,42,186,154,13,43,39,40,22,17,36,39.2,14,1203048,2017,25,40.6666666666667,170,"H17SR10","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"98",98,"#N/A","2017-08-20",2017,67,NA,412,32,48,46,58,58,34,47,40.5,11.5,NA,2017,46.3333333333333,50.6666666666667,NA,"H17SR11","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"99",99,"#N/A","2017-08-20",2017,54,208,176,25,41,43,40,20,17,35,29.3,11.5,1976832,2017,24,41.3333333333333,192,"H17SR12","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"100",100,"#N/A","2017-08-20",2017,35,261,174,20,43,50,46,40,29,36,43.9,10.5,1589490,2017,35,46.3333333333333,217.5,"H17SR13","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"101",101,"#N/A","2017-08-20",2017,24,228,211,12,43,46,44,33,24,11,28.5,13,1154592,2017,22.6666666666667,44.3333333333333,219.5,"H17SR14","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"102",102,"#N/A","2017-08-20",2017,38,300,219,19,35,35,40,32,37,21,30.5,11.2,2496600,2017,30,36.6666666666667,259.5,"H17SR15","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"103",103,"#N/A","2017-08-20",2017,59,216,285,26,41,44,40,45,34,37,33,15.6,3632040,2017,38.6666666666667,41.6666666666667,250.5,"H17SR16","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"104",104,"#N/A","2017-08-20",2017,48,208,159,25,56,49,49,57,52,45,35.5,12.3,1587456,2017,51.3333333333333,51.3333333333333,183.5,"H17SR17","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"105",105,"#N/A","2017-08-20",2017,72,NA,NA,36,43,46,41,32,26,15,44,12.1,NA,2017,24.3333333333333,43.3333333333333,NA,"H17SR18","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"106",106,"#N/A","2017-08-20",2017,43,148,153,12,34,31,32,16,30,27,23.1,15.1,973692,2017,24.3333333333333,32.3333333333333,150.5,"H17SR19","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"107",107,"#N/A","2017-08-20",2017,55,212,196,21,47,47,40,22,31,29,37.8,10.1,2285360,2017,27.3333333333333,44.6666666666667,204,"H17SR20","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"108",108,"#N/A","2017-08-20",2017,52.5,482,402,30,50,48,48,46,36,32,28.2,11,10172610,2017,38,48.6666666666667,442,"H17SR21","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"109",109,"#N/A","2017-08-20",2017,48,321,307,24,41,41,38,21,20,26,35.3,9.4,4730256,2017,22.3333333333333,40,314,"H17SR22","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"110",110,"#N/A","2017-08-20",2017,46.5,392,339,28,55,51,59,110,78,111,39.2,12.2,6179292,2017,99.6666666666667,55,365.5,"H17SR35","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"111",111,"#N/A","2017-08-20",2017,41,134,117,19,55,51,58,250,221,88,41.1,14.8,642798,2017,186.333333333333,54.6666666666667,125.5,"H17SR36","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"112",112,"#N/A","2017-08-20",2017,57,178,139,23,51,55,47,92,53,70,40.9,8.3,1410294,2017,71.6666666666667,51,158.5,"H17SR37","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"113",113,"#N/A","2017-08-20",2017,36,128,123,11,44,41,43,48,30,44,35.9,13.6,566784,2017,40.6666666666667,42.6666666666667,125.5,"H17SR39","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"114",114,"#N/A","2017-08-20",2017,32,151,124,12,36,33,33,24,28,24,31.6,13.1,599168,2017,25.3333333333333,34,137.5,"H17SR40","Qikiqtaruk","Salix richardsonii",NA,NA,NA,NA,NA,NA
"115",115,"PC16PVSr1","2016-08-08",2016,148,147,103,34.1,NA,NA,NA,NA,NA,NA,29.9,10.3,2240868,2016,NA,NA,125,"PC16PVSR1","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"116",116,"PC16PVSr2","2016-08-08",2016,124,154,117,50.3,NA,NA,NA,NA,NA,NA,40.4,10.8,2234232,2016,NA,NA,135.5,"PC16PVSR2","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"117",117,"PC16PVSr3","2016-08-08",2016,22,46,62,10.4,NA,NA,NA,NA,NA,NA,30.5,7.5,62744,2016,NA,NA,54,"PC16PVSR3","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"118",118,"PC16PVSr4","2016-08-08",2016,174,183,226,69.6,NA,NA,NA,NA,NA,NA,28.5,9.4,7196292,2016,NA,NA,204.5,"PC16PVSR4","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"119",119,"PC16PVSr5","2016-08-08",2016,100,224,137,47,NA,NA,NA,NA,NA,NA,43.5,10.6,3068800,2016,NA,NA,180.5,"PC16PVSR5","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
